movieId,title,genres,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0
2,Jumanji,Adventure|Children|Fantasy,1995.0
3,Grumpier Old Men,Comedy|Romance,1995.0
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0
5,Father of the Bride Part II,Comedy,1995.0
6,Heat,Action|Crime|Thriller,1995.0
7,Sabrina,Comedy|Romance,1995.0
8,Tom and Huck,Adventure|Children,1995.0
9,Sudden Death,Action,1995.0
10,GoldenEye,Action|Adventure|Thriller,1995.0
11,"American President, The",Comedy|Drama|Romance,1995.0
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0
13,Balto,Adventure|Animation|Children,1995.0
14,Nixon,Drama,1995.0
15,Cutthroat Island,Action|Adventure|Romance,1995.0
16,Casino,Crime|Drama,1995.0
17,Sense and Sensibility,Drama|Romance,1995.0
18,Four Rooms,Comedy,1995.0
19,Ace Ventura: When Nature Calls,Comedy,1995.0
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995.0
21,Get Shorty,Comedy|Crime|Thriller,1995.0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995.0
23,Assassins,Action|Crime|Thriller,1995.0
24,Powder,Drama|Sci-Fi,1995.0
25,Leaving Las Vegas,Drama|Romance,1995.0
26,Othello,Drama,1995.0
27,Now and Then,Children|Drama,1995.0
28,Persuasion,Drama|Romance,1995.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995.0
31,Dangerous Minds,Drama,1995.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0
33,Wings of Courage,Adventure|Romance|IMAX,1995.0
34,Babe,Children|Drama,1995.0
35,Carrington,Drama|Romance,1995.0
36,Dead Man Walking,Crime|Drama,1995.0
39,Clueless,Comedy|Romance,1995.0
40,"Cry, the Beloved Country",Drama,1995.0
41,Richard III,Drama|War,1995.0
42,Dead Presidents,Action|Crime|Drama,1995.0
43,Restoration,Drama,1995.0
44,Mortal Kombat,Action|Adventure|Fantasy,1995.0
45,To Die For,Comedy|Drama|Thriller,1995.0
46,How to Make an American Quilt,Drama|Romance,1995.0
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995.0
49,When Night Is Falling,Drama|Romance,1995.0
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995.0
52,Mighty Aphrodite,Comedy|Drama|Romance,1995.0
53,Lamerica,Adventure|Drama,1994.0
54,"Big Green, The",Children|Comedy,1995.0
55,Georgia,Drama,1995.0
57,Home for the Holidays,Drama,1995.0
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994.0
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,1995.0
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995.0
61,Eye for an Eye,Drama|Thriller,1996.0
62,Mr. Holland's Opus,Drama,1995.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996.0
64,Two if by Sea,Comedy|Romance,1996.0
65,Bio-Dome,Comedy,1996.0
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996.0
68,French Twist (Gazon maudit),Comedy|Romance,1995.0
69,Friday,Comedy,1995.0
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996.0
71,Fair Game,Action,1995.0
72,Kicking and Screaming,Comedy|Drama,1995.0
73,"Misérables, Les",Drama|War,1995.0
74,Bed of Roses,Drama|Romance,1996.0
75,Big Bully,Comedy|Drama,1996.0
76,Screamers,Action|Sci-Fi|Thriller,1995.0
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995.0
79,"Juror, The",Drama|Thriller,1996.0
